,Word,Spam_prob,Ham_prob
283,website,0,0
284,below,0,0
287,published,0,0
288,by,0,0
289,BBC,0,0
290,WORLD,0,0
291,NEWS.WEBSITE.http:/ews.bbc.co.uk/1/hi/world/americas/502503.stm.I,0,0
293,now,0,0
294,faced,0,0
296,confusion,0,0
300,pass,0,0
303,to.According,0,0
306,English,0,0
307,law,0,0
311,supposed,0,0
314,bequeathed,0,0
317,"government,if",0,0
318,nobody,0,0
319,comes,0,0
320,forward,0,0
323,next,0,0
325,kin,0,0
326,within,0,0
327,seven,0,0
328,years,0,0
331,demise,0,0
334,benefactor,0,0
337,will,0,0
338,My,0,0
339,purpose,0,0
341,contacting,0,0
345,seek,0,0
346,your,0,0
347,acting,0,0
350,beneficiary,0,0
355,lay,0,0
356,claim,0,0
359,legacy,0,0
361,$7million,0,0
364,deceased,0,0
366,,0,0
371,For,0,0
374,alone,0,0
376,about,0,0
382,had,0,0
383,great,0,0
384,confidence,0,0
386,me.Everything,0,0
390,between,0,0
395,share,0,0
398,25%,0,0
402,75%,0,0
407,want,0,0
409,give,0,0
411,huge,0,0
412,part,0,0
418,tsunami,0,0
419,"victims,as",0,0
423,primary,0,0
424,objective,0,0
425,All,0,0
427,have,0,0
429,do,0,0
431,amend,0,0
435,add,0,0
437,codicil,0,0
446,legacy.Again,0,0
448,feel,0,0
452,apprehensive,0,0
454,consider,0,0
456,amount,0,0
457,too,0,0
458,big,0,0
462,defend,0,0
464,does,0,0
465,not,0,0
466,matter,0,0
468,there,0,0
470,documents,0,0
472,back,0,0
474,up.This,0,0
478,being,0,0
479,passed,0,0
484,As,0,0
488,very,0,0
489,sure,0,0
491,getting,0,0
493,consent,0,0
498,prefer,0,0
501,divulge,0,0
504,identity,0,0
505,so,0,0
509,risk,0,0
511,disbarred,0,0
514,Bar,0,0
515,considers,0,0
518,breach,0,0
521,oath,0,0
527,need,0,0
529,emphasize,0,0
534,sensitivity,0,0
541,toyed,0,0
544,neglecting,0,0
546,confidentiality,0,0
548,therefore,0,0
549,appeal,0,0
553,discuss,0,0
557,anybody,0,0
558,even,0,0
559,if,0,0
561,decline,0,0
563,request.I,0,0
564,look,0,0
567,hearing,0,0
570,soon.Yours,0,0
571,trulyStephen,0,0
572,Ayling.,0,0
573,MR,0,0
574,CHEUNG,0,0
575,PUIHANG,0,0
576,SENG,0,0
577,BANK,0,0
578,LTD.DES,0,0
579,VOEUX,0,0
580,RD,0,0
581,"BRANCH,CENTRAL",0,0
582,HONG,0,0
583,"KONG,HONG",0,0
584,KONG,0,0
585,Let,0,0
587,start,0,0
589,introducing,0,0
590,myself,0,0
593,Mr.Cheung,0,0
594,Pui,0,0
595,director,0,0
600,Hang,0,0
601,Seng,0,0
602,Bank,0,0
603,Ltd,0,0
607,urgent,0,0
609,suggestion,0,0
612,honestly,0,0
613,apologize,0,0
615,hope,0,0
619,cause,0,0
621,much,0,0
622,embarrassment,0,0
628,means,0,0
631,transaction,0,0
634,"magnitude,but",0,0
637,due,0,0
641,prompt,0,0
642,access,0,0
643,reposed,0,0
646,"medium.Furthermore,due",0,0
652,hands,0,0
653,"now,it",0,0
654,became,0,0
655,necesary,0,0
661,assistance,0,0
665,imperative,0,0
671,opinionBefore,0,0
673,U.S,0,0
675,Iraqi,0,0
676,war,0,0
679,Major,0,0
680,Fadi,0,0
681,Bassem,0,0
687,forces,0,0
689,also,0,0
691,man,0,0
692,made,0,0
694,numbered,0,0
695,fixed,0,0
696,deposit,0,0
698,18,0,0
699,calendar,0,0
700,months,0,0
703,value,0,0
705,Twenty,0,0
706,Four,0,0
707,millions,0,0
708,Five,0,0
709,Hundred,0,0
710,Thousand,0,0
711,United,0,0
712,State,0,0
713,Dollars,0,0
714,only,0,0
717,branch,0,0
718,Upon,0,0
719,maturity,0,0
720,several,0,0
721,notice,0,0
723,sent,0,0
725,him,0,0
727,during,0,0
730,early,0,0
732,year,0,0
733,Again,0,0
734,after,0,0
738,another,0,0
739,notification,0,0
743,still,0,0
745,response,0,0
746,came,0,0
750,later,0,0
751,find,0,0
758,family,0,0
760,been,0,0
761,killed,0,0
766,bomb,0,0
767,blast,0,0
769,hit,0,0
770,their,0,0
771,home.After,0,0
772,further,0,0
773,investigation,0,0
777,discovered,0,0
781,Basem,0,0
783,did,0,0
785,declare,0,0
786,any,0,0
792,official,0,0
793,papers,0,0
796,paper,0,0
797,work,0,0
800,bank,0,0
802,And,0,0
805,confided,0,0
809,last,0,0
810,time,0,0
815,office,0,0
819,except,0,0
821,knew,0,0
828,So,0,0
840,lying,0,0
848,ever,0,0
849,come,0,0
854,What,0,0
855,bothers,0,0
860,according,0,0
863,laws,0,0
869,expiration,0,0
870,5,0,0
873,funds,0,0
875,revert,0,0
878,ownership,0,0
881,Hong,0,0
882,Kong,0,0
883,Government,0,0
886,applies,0,0
891,Against,0,0
893,backdrop,0,0
902,like,0,0
906,foreigner,0,0
908,stand,0,0
924,able,0,0
926,receive,0,0
929,WHAT,0,0
930,IS,0,0
931,TO,0,0
932,BE,0,0
933,DONE:I,0,0
942,everything,0,0
943,planned,0,0
948,shall,0,0
951,successful,0,0
954,contacted,0,0
956,attorney,0,0
959,prepare,0,0
961,necessary,0,0
962,document,0,0
967,up,0,0
978,all,0,0
981,required,0,0
986,stage,0,0
991,provide,0,0
995,Full,0,0
996,Names,0,0
998,Address,0,0
1004,commence,0,0
1006,job,0,0
1007,After,0,0
1020,file,0,0
1023,claims,0,0
1026,behalf,0,0
1028,secure,0,0
1031,approval,0,0
1033,letter,0,0
1035,probate,0,0
1038,favor,0,0
1041,move,0,0
1047,account,0,0
1051,provided,0,0
1053,you.There,0,0
1057,involved,0,0
1066,going,0,0
1068,adopt,0,0
1070,legalized,0,0
1071,method,0,0
1081,Please,0,0
1082,endeavor,0,0
1084,observe,0,0
1085,utmost,0,0
1086,discretion,0,0
1089,matters,0,0
1090,concerning,0,0
1091,thisissue.Once,0,0
1096,transferred,0,0
1099,nominated,0,0
1107,ratio,0,0
1109,70%,0,0
1116,5%,0,0
1119,expenses,0,0
1120,incure,0,0
1124,Should,0,0
1127,interested,0,0
1128,please,0,0
1129,send,0,0
1133,names,0,0
1135,current,0,0
1136,residential,0,0
1137,address,0,0
1144,reach,0,0
1146,via,0,0
1148,private,0,0
1149,box,0,0
1150,{che_Pui67@yahoo.com.hk},0,0
1152,finally,0,0
1155,i,0,0
1161,details,0,0
1164,operation.Your,0,0
1165,earliest,0,0
1172,appreciated.Kind,0,0
1173,"Regards,Mr",0,0
1174,Cheung,0,0
1175,Pui.___________________________________________________________________________Mail,0,0
1176,envoy�,0,0
1177,par,0,0
1178,le,0,0
1179,service,0,0
1180,WebMail,0,0
1181,du,0,0
1182,Site,0,0
1183,PHP-Nuke-,0,0
1184,http://www.forcetacticalarmy.com,0,0
1185,Not,0,0
1187,surprising,0,0
1188,assessment,0,0
1190,Embassy.,0,0
1191,Monica,0,0
1192,-Huma,0,0
1193,Abedin,0,0
1194,<Huma@clintonemail.com>Tuesday,0,0
1195,June,0,0
1196,29,0,0
1197,2010,0,0
1198,6:01,0,0
1199,AM'hanleymr@state.gov',0,0
1200,HRe:is,0,0
1201,already,0,0
1203,locked,0,0
1205,tonite,0,0
1208,seeing,0,0
1209,her,0,0
1210,right,0,0
1211,before,0,0
1212,actually.,0,0
